Acceptance Rate,Application Deadline,Application Fee,SAT Range,ACT Range,How would you rate on-campus housing?,How would you rate off-campus housing?,How would you rate campus food?,How would you rate campus facilities?,How would you rate class size?,How would you rate school activities?,How would you rate local services?,How would you rate academics?,University Name,Student Life Reviews,General Info,Table,Quick Facts
100%,None,25,None,None,,,,,,,,,Blue Ridge Community and Technical College,None,,,
83%,None,0,870-1070,17-22,4 Students rated on-campus housing 2 stars. 0 % gave the school a 5.0.,6 Students rated off-campus housing 3.3 stars. 0 % gave the school a 5.0.,7 Students rated campus food 3.3 stars. 0 % gave the school a 5.0.,7 Students rated campus facilities 3 stars. 0 % gave the school a 5.0.,7 Students rated class size 3.7 stars. 14 % gave the school a 5.0.,7 Students rated school activities 2.8 stars. 0 % gave the school a 5.0.,7 Students rated local services 4.3 stars. 29 % gave the school a 5.0.,7 Students rated academics 3.5 stars. 14 % gave the school a 5.0.,Bluefield State College,,,,
100%,None,0,None,None,,,,,,,,,Bridgemont Community and Technical College,None,,,
100%,None,0,None,None,,,,,,,,,BridgeValley Community & Technical College,None,,,
100%,None,100,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Cabell County Career Technology Center,,,,
100%,None,30,None,None,,,,,,,,,Carver Career Center,None,,,
100%,None,25,None,None,,,,,,,,,Catholic Distance University,None,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Charleston School of Beauty Culture,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Clarksburg Beauty Academy and School of Massage Therapy,,,,
81%,None,0,870-1090,18-23,51 Students rated on-campus housing 3.4 stars. 6 % gave the school a 5.0.,43 Students rated off-campus housing 2.6 stars. 0 % gave the school a 5.0.,56 Students rated campus food 2.7 stars. 13 % gave the school a 5.0.,57 Students rated campus facilities 3.5 stars. 23 % gave the school a 5.0.,57 Students rated class size 4.3 stars. 54 % gave the school a 5.0.,57 Students rated school activities 3.3 stars. 21 % gave the school a 5.0.,58 Students rated local services 3.4 stars. 26 % gave the school a 5.0.,57 Students rated academics 4.1 stars. 49 % gave the school a 5.0.,Concord University,,,,
50%,None,0,860-1060,17-23,14 Students rated on-campus housing 3.1 stars. 0 % gave the school a 5.0.,13 Students rated off-campus housing 2.5 stars. 0 % gave the school a 5.0.,15 Students rated campus food 2.8 stars. 20 % gave the school a 5.0.,16 Students rated campus facilities 3.4 stars. 19 % gave the school a 5.0.,15 Students rated class size 4.4 stars. 47 % gave the school a 5.0.,15 Students rated school activities 3.4 stars. 13 % gave the school a 5.0.,15 Students rated local services 3.8 stars. 27 % gave the school a 5.0.,15 Students rated academics 3.7 stars. 20 % gave the school a 5.0.,Davis & Elkins College,,,,
100%,None,0,None,None,,,,,,,,,Eastern West Virginia Community and Technical College,None,,,
67%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Everest Institute-Cross Lanes,,,,
64%,None,25,820-1020,18-23,38 Students rated on-campus housing 3.8 stars. 21 % gave the school a 5.0.,32 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,45 Students rated campus food 3.7 stars. 22 % gave the school a 5.0.,47 Students rated campus facilities 4.4 stars. 51 % gave the school a 5.0.,47 Students rated class size 4.6 stars. 68 % gave the school a 5.0.,47 Students rated school activities 4 stars. 32 % gave the school a 5.0.,47 Students rated local services 3.8 stars. 28 % gave the school a 5.0.,47 Students rated academics 4.4 stars. 53 % gave the school a 5.0.,Fairmont State University,,,,
100%,None,35,None,None,,,,,,,,,Fayette Institute of Technology,None,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Fred W Eberle Technical Center,,,,
%,None,0,None,None,,,,,,,,,Future Generations Graduate School,None,,,
100%,None,90,None,None,,,,,,,,,Garnet Career Center,None,,,
69%,None,20,750-950,16-22,19 Students rated on-campus housing 3.4 stars. 11 % gave the school a 5.0.,17 Students rated off-campus housing 3.2 stars. 0 % gave the school a 5.0.,20 Students rated campus food 3 stars. 20 % gave the school a 5.0.,20 Students rated campus facilities 3.6 stars. 15 % gave the school a 5.0.,20 Students rated class size 4.5 stars. 65 % gave the school a 5.0.,20 Students rated school activities 3.4 stars. 20 % gave the school a 5.0.,20 Students rated local services 3.2 stars. 30 % gave the school a 5.0.,20 Students rated academics 4 stars. 30 % gave the school a 5.0.,Glenville State College,,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,HRDE-Stanley Technical Institute-Clarksburg,,,,
%,None,0,None,None,,,,,,,,,HRDE-Stanley Technical Institute-Parkersburg,None,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Human Resource Development and Employment Inc,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Huntington Junior College,,,,
100%,None,100,None,None,,,,,,,,,Huntington School of Beauty Culture-Main Campus,None,,,
100%,None,100,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,International Beauty School 4,,,,
100%,None,50,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,James Rumsey Technical Institute,,,,
100%,None,25,None,None,,,,,,,,,John D Rockefeller IV Career Center,None,,,
100%,None,0,None,None,,,,,,,,,Kanawha Valley Community and Technical College,None,,,
89%,None,30,880-1135,19-24,120 Students rated on-campus housing 3.7 stars. 21 % gave the school a 5.0.,91 Students rated off-campus housing 3.8 stars. 0 % gave the school a 5.0.,140 Students rated campus food 3.5 stars. 21 % gave the school a 5.0.,144 Students rated campus facilities 4 stars. 33 % gave the school a 5.0.,144 Students rated class size 4.2 stars. 46 % gave the school a 5.0.,143 Students rated school activities 3.7 stars. 24 % gave the school a 5.0.,143 Students rated local services 4.2 stars. 50 % gave the school a 5.0.,144 Students rated academics 4.1 stars. 38 % gave the school a 5.0.,Marshall University,,,,
100%,None,0,None,None,,,,,,,,,Martinsburg College,None,,,
100%,None,50,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Mercer County Technical Education Center,,,,
100%,None,0,None,None,2 Students rated on-campus housing 3 stars. 0 % gave the school a 5.0.,2 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,2 Students rated campus food 3.5 stars. 0 % gave the school a 5.0.,2 Students rated campus facilities 3.5 stars. 0 % gave the school a 5.0.,2 Students rated class size 4.5 stars. 50 % gave the school a 5.0.,2 Students rated school activities 2.5 stars. 0 % gave the school a 5.0.,2 Students rated local services 3.5 stars. 0 % gave the school a 5.0.,2 Students rated academics 4 stars. 0 % gave the school a 5.0.,Meredith Manor International Equestrian Center,,,,
0%,None,60,None,None,,,,,,,,,Mineral County Vocational Technical Center,None,,,
100%,None,100,None,None,,,,,,,,,Mingo Extended Learning Center,None,,,
67%,None,100,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Monongalia County Technical Education Center,,,,
100%,None,100,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Morgantown Beauty College Inc,,,,
100%,None,115,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Mountain State College,,,,
100%,None,25,None,None,,,,,,,,,Mountain State School of Massage,None,,,
100%,None,25,None,None,10 Students rated on-campus housing 3.6 stars. 30 % gave the school a 5.0.,3 Students rated off-campus housing 4.4 stars. 0 % gave the school a 5.0.,11 Students rated campus food 3.1 stars. 36 % gave the school a 5.0.,16 Students rated campus facilities 4.1 stars. 44 % gave the school a 5.0.,16 Students rated class size 4.5 stars. 63 % gave the school a 5.0.,16 Students rated school activities 2.8 stars. 13 % gave the school a 5.0.,16 Students rated local services 4.4 stars. 56 % gave the school a 5.0.,16 Students rated academics 3.7 stars. 25 % gave the school a 5.0.,Mountain State University,,,,
100%,None,100,None,None,,,,,,,,,Mountaineer Beauty College,None,,,
100%,None,0,None,None,,,,,,,,,Mountwest Community and Technical College,None,,,
100%,None,0,None,None,,,,,,,,,New River Community and Technical College,None,,,
63%,None,0,850-1060,18-23,5 Students rated on-campus housing 3.2 stars. 20 % gave the school a 5.0.,4 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,5 Students rated campus food 3.4 stars. 20 % gave the school a 5.0.,5 Students rated campus facilities 2.4 stars. 0 % gave the school a 5.0.,5 Students rated class size 3.4 stars. 20 % gave the school a 5.0.,5 Students rated school activities 2.8 stars. 0 % gave the school a 5.0.,5 Students rated local services 3.4 stars. 40 % gave the school a 5.0.,5 Students rated academics 3.4 stars. 20 % gave the school a 5.0.,Ohio Valley University,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Opportunities Industrialization Center,,,,
100%,None,0,None,None,,,,,,,,,Pierpont Community and Technical College,None,,,
100%,None,0,None,None,10 Students rated on-campus housing 3.9 stars. 30 % gave the school a 5.0.,5 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,10 Students rated campus food 3.2 stars. 20 % gave the school a 5.0.,10 Students rated campus facilities 4 stars. 30 % gave the school a 5.0.,10 Students rated class size 4.6 stars. 60 % gave the school a 5.0.,10 Students rated school activities 3.6 stars. 20 % gave the school a 5.0.,10 Students rated local services 2.9 stars. 20 % gave the school a 5.0.,10 Students rated academics 4 stars. 50 % gave the school a 5.0.,Potomac State College of West Virginia University,,,,
100%,None,30,None,None,,,,,,,,,Putnam Career and Technical Center,None,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Ralph R Willis Career and Technical Center,,,,
%,None,35,None,None,,,,,,,,,Randolph Technical Center,None,,,
100%,None,0,None,None,,,,,,,,,Roane-Jackson Technical Center,None,,,
100%,None,0,None,None,,,,,,,,,Ross Medical Education Center-Charleston,None,,,
100%,None,0,None,None,,,,,,,,,Ross Medical Education Center-Morgantown,None,,,
100%,None,20,None,None,4 Students rated on-campus housing 2 stars. 0 % gave the school a 5.0.,3 Students rated off-campus housing 3.7 stars. 0 % gave the school a 5.0.,4 Students rated campus food 1.7 stars. 25 % gave the school a 5.0.,4 Students rated campus facilities 3.3 stars. 50 % gave the school a 5.0.,4 Students rated class size 2.7 stars. 50 % gave the school a 5.0.,4 Students rated school activities 3.3 stars. 25 % gave the school a 5.0.,4 Students rated local services 2 stars. 0 % gave the school a 5.0.,4 Students rated academics 4 stars. 50 % gave the school a 5.0.,Salem International University,,,,
100%,None,75,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Scott College of Cosmetology,,,,
91%,None,45,870-1080,19-24,47 Students rated on-campus housing 3.5 stars. 9 % gave the school a 5.0.,41 Students rated off-campus housing 3.3 stars. 0 % gave the school a 5.0.,55 Students rated campus food 3.2 stars. 18 % gave the school a 5.0.,58 Students rated campus facilities 3.9 stars. 26 % gave the school a 5.0.,59 Students rated class size 4.4 stars. 54 % gave the school a 5.0.,57 Students rated school activities 3.9 stars. 26 % gave the school a 5.0.,58 Students rated local services 4.3 stars. 48 % gave the school a 5.0.,59 Students rated academics 4.1 stars. 46 % gave the school a 5.0.,Shepherd University-Shepherdstown,,,,
%,None,0,None,None,,,,,,,,,South Branch Career and Technical Center,None,,,
100%,None,0,None,None,3 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 3.7 stars. 0 % gave the school a 5.0.,3 Students rated campus food 2.3 stars. 33 % gave the school a 5.0.,3 Students rated campus facilities 3.7 stars. 33 % gave the school a 5.0.,3 Students rated class size 5 stars. 100 % gave the school a 5.0.,3 Students rated school activities 1.7 stars. 0 % gave the school a 5.0.,3 Students rated local services 1.3 stars. 0 % gave the school a 5.0.,3 Students rated academics 4.3 stars. 67 % gave the school a 5.0.,Southern West Virginia Community and Technical College,,,,
100%,None,0,None,None,,,,,,,,,Strayer University-West Virginia,None,,,
85%,None,0,None,None,,,,,,,,,United Technical Center,None,,,
51%,None,25,843-1018,18-24,15 Students rated on-campus housing 3.5 stars. 13 % gave the school a 5.0.,11 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,15 Students rated campus food 3.2 stars. 20 % gave the school a 5.0.,17 Students rated campus facilities 4.1 stars. 47 % gave the school a 5.0.,17 Students rated class size 4.5 stars. 65 % gave the school a 5.0.,16 Students rated school activities 3.6 stars. 38 % gave the school a 5.0.,16 Students rated local services 3.7 stars. 31 % gave the school a 5.0.,17 Students rated academics 4.1 stars. 35 % gave the school a 5.0.,University of Charleston,,,,
100%,None,0,None,None,,,,,,,,,Valley Beauty School-Parkersburg,None,,,
100%,None,50,None,None,,,,,,,,,Valley College-Beckley,None,,,
100%,None,50,None,None,,,,,,,,,Valley College-Martinsburg,None,,,
100%,None,50,None,None,,,,,,,,,Valley College-Princeton,None,,,
71%,None,0,830-990,18-23,25 Students rated on-campus housing 3.9 stars. 24 % gave the school a 5.0.,20 Students rated off-campus housing 3.3 stars. 0 % gave the school a 5.0.,27 Students rated campus food 3.4 stars. 26 % gave the school a 5.0.,27 Students rated campus facilities 3.8 stars. 22 % gave the school a 5.0.,27 Students rated class size 4.3 stars. 52 % gave the school a 5.0.,26 Students rated school activities 3.5 stars. 23 % gave the school a 5.0.,27 Students rated local services 2.7 stars. 4 % gave the school a 5.0.,27 Students rated academics 4.1 stars. 44 % gave the school a 5.0.,West Liberty University,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,West Virginia Business College-Wheeling,,,,
100%,None,25,None,None,,,,,,,,,West Virginia Junior College-Bridgeport,None,,,
100%,None,25,None,None,1 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,1 Students rated campus food 4 stars. 0 % gave the school a 5.0.,1 Students rated campus facilities 5 stars. 100 % gave the school a 5.0.,1 Students rated class size 5 stars. 100 % gave the school a 5.0.,1 Students rated school activities 5 stars. 100 % gave the school a 5.0.,1 Students rated local services 5 stars. 100 % gave the school a 5.0.,1 Students rated academics 5 stars. 100 % gave the school a 5.0.,West Virginia Junior College-Charleston,,,,
100%,None,25,None,None,1 Students rated on-campus housing 5 stars. 100 % gave the school a 5.0.,0 Students rated off-campus housing 5 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,1 Students rated campus facilities 5 stars. 100 % gave the school a 5.0.,1 Students rated class size 5 stars. 100 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,1 Students rated local services 5 stars. 100 % gave the school a 5.0.,1 Students rated academics 5 stars. 100 % gave the school a 5.0.,West Virginia Junior College-Morgantown,,,,
100%,None,0,None,None,4 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,4 Students rated off-campus housing 1 stars. 0 % gave the school a 5.0.,5 Students rated campus food 2.2 stars. 0 % gave the school a 5.0.,5 Students rated campus facilities 3.8 stars. 40 % gave the school a 5.0.,5 Students rated class size 4.4 stars. 60 % gave the school a 5.0.,5 Students rated school activities 2.6 stars. 0 % gave the school a 5.0.,5 Students rated local services 3.4 stars. 40 % gave the school a 5.0.,4 Students rated academics 4 stars. 75 % gave the school a 5.0.,West Virginia Northern Community College,,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,West Virginia School of Osteopathic Medicine,,,,
96%,None,22,813-1010,17-22,15 Students rated on-campus housing 3.6 stars. 13 % gave the school a 5.0.,11 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,19 Students rated campus food 3.4 stars. 21 % gave the school a 5.0.,20 Students rated campus facilities 3.7 stars. 35 % gave the school a 5.0.,20 Students rated class size 4.2 stars. 35 % gave the school a 5.0.,20 Students rated school activities 3.2 stars. 10 % gave the school a 5.0.,20 Students rated local services 3.5 stars. 30 % gave the school a 5.0.,20 Students rated academics 4.2 stars. 50 % gave the school a 5.0.,West Virginia State University,,,,
76%,None,45,915-1130,21-26,347 Students rated on-campus housing 3.7 stars. 18 % gave the school a 5.0.,250 Students rated off-campus housing 3.8 stars. 0 % gave the school a 5.0.,362 Students rated campus food 3.6 stars. 20 % gave the school a 5.0.,374 Students rated campus facilities 4.3 stars. 50 % gave the school a 5.0.,374 Students rated class size 3.9 stars. 26 % gave the school a 5.0.,372 Students rated school activities 4.4 stars. 56 % gave the school a 5.0.,375 Students rated local services 4.3 stars. 54 % gave the school a 5.0.,375 Students rated academics 4.2 stars. 45 % gave the school a 5.0.,West Virginia University,,,,
100%,None,0,None,None,3 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,2 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,5 Students rated campus food 3.6 stars. 20 % gave the school a 5.0.,5 Students rated campus facilities 3.8 stars. 40 % gave the school a 5.0.,5 Students rated class size 3.6 stars. 20 % gave the school a 5.0.,5 Students rated school activities 2.4 stars. 0 % gave the school a 5.0.,5 Students rated local services 2.4 stars. 20 % gave the school a 5.0.,5 Students rated academics 4 stars. 40 % gave the school a 5.0.,West Virginia University at Parkersburg,,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,West Virginia University Hospital Departments of Rad Tech and Nutrition,,,,
52%,None,0,780-1120,19-24,14 Students rated on-campus housing 3.6 stars. 21 % gave the school a 5.0.,12 Students rated off-campus housing 2.6 stars. 0 % gave the school a 5.0.,14 Students rated campus food 2.6 stars. 14 % gave the school a 5.0.,15 Students rated campus facilities 3.1 stars. 20 % gave the school a 5.0.,15 Students rated class size 4.3 stars. 47 % gave the school a 5.0.,15 Students rated school activities 2.9 stars. 20 % gave the school a 5.0.,15 Students rated local services 3.7 stars. 27 % gave the school a 5.0.,15 Students rated academics 4.1 stars. 40 % gave the school a 5.0.,West Virginia University Institute of Technology,,,,
77%,None,35,880-1110,20-25,44 Students rated on-campus housing 3.2 stars. 7 % gave the school a 5.0.,29 Students rated off-campus housing 2.8 stars. 0 % gave the school a 5.0.,44 Students rated campus food 2.8 stars. 5 % gave the school a 5.0.,44 Students rated campus facilities 3.6 stars. 20 % gave the school a 5.0.,44 Students rated class size 4.6 stars. 68 % gave the school a 5.0.,44 Students rated school activities 4 stars. 34 % gave the school a 5.0.,44 Students rated local services 3.5 stars. 20 % gave the school a 5.0.,44 Students rated academics 4 stars. 39 % gave the school a 5.0.,West Virginia Wesleyan College,,,,
93%,None,25,890-1060,18-23,11 Students rated on-campus housing 3.3 stars. 9 % gave the school a 5.0.,6 Students rated off-campus housing 1.7 stars. 0 % gave the school a 5.0.,11 Students rated campus food 2.5 stars. 18 % gave the school a 5.0.,12 Students rated campus facilities 2.7 stars. 0 % gave the school a 5.0.,12 Students rated class size 4.2 stars. 42 % gave the school a 5.0.,12 Students rated school activities 2.6 stars. 0 % gave the school a 5.0.,12 Students rated local services 4.3 stars. 50 % gave the school a 5.0.,12 Students rated academics 2.9 stars. 25 % gave the school a 5.0.,Wheeling Jesuit University,,,,
